Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5
Requisitons per number of slots per link;3;<3-4>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<3-4>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-5>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<2-5>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-5>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<2-5>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<5-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;3;<5-2>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<5-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<5-2>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;3;<4-3>;3;-; ;0.5;0.5;0.5;0.5;0.5
