Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots per link;4;<12-9>;5;-; ;0.16536441654925066;0.17255206312249385;0.165493408421861;0.17352642276422764;0.1775208734746307;0.17552916881775943;0.1706708677957201;0.168698132780083;0.17725277562612962;0.1707222366036759
Requisitons per number of slots per link;4;<12-9>;9;-; ;0.18009478672985782;0.18121847109041522;0.18366824523230513;0.17530487804878048;0.18933847141939628;0.17514197212183788;0.18248654325850072;0.176996887966805;0.18344952233410794;0.17654672534299767
Requisitons per number of slots per link;4;<3-4>;1;-; ;0.5071982281284607;0.5124056094929881;0.5011061946902655;0.4959677419354839;0.5047418335089568;0.4826427771556551;0.48680042238648363;0.4852459016393443;0.4660633484162896;0.47738693467336685
Requisitons per number of slots per link;4;<3-4>;2;-; ;0.15282392026578073;0.1413160733549083;0.168141592920354;0.15423387096774194;0.15279241306638566;0.17357222844344905;0.1805702217529039;0.17595628415300546;0.16515837104072398;0.16482412060301507
Requisitons per number of slots per link;4;<3-4>;3;-; ;0.17275747508305647;0.16181229773462782;0.1581858407079646;0.17237903225806453;0.17702845100105374;0.16685330347144456;0.17634635691657866;0.15846994535519127;0.19457013574660634;0.1678391959798995
Requisitons per number of slots per link;4;<3-4>;5;-; ;0.15503875968992248;0.16828478964401294;0.15597345132743362;0.16330645161290322;0.1475237091675448;0.1623740201567749;0.14044350580781415;0.16721311475409836;0.15384615384615385;0.16482412060301507
Requisitons per number of slots per link;4;<3-4>;9;-; ;0.012181616832779624;0.016181229773462782;0.016592920353982302;0.014112903225806451;0.01791359325605901;0.014557670772676373;0.01583949313621964;0.013114754098360656;0.020361990950226245;0.02512562814070352
Requisitons per number of slots per link;4;<3-5>;1;-; ;0.4251968503937008;0.41946597760551246;0.41818181818181815;0.45430809399477806;0.42443729903536975;0.39475839475839475;0.3986655546288574;0.4147350993377483;0.42502004811547717;0.436278342455043
Requisitons per number of slots per link;4;<3-5>;2;-; ;0.1609798775153106;0.1826012058570198;0.17272727272727273;0.1731940818102698;0.1712218649517685;0.17936117936117937;0.18265221017514596;0.18625827814569537;0.1740176423416199;0.1376075058639562
Requisitons per number of slots per link;4;<3-5>;3;-; ;0.17672790901137359;0.1748492678725237;0.1628099173553719;0.16275021758050479;0.1607717041800643;0.16953316953316952;0.17597998331943285;0.1912251655629139;0.16680032076984763;0.18373729476153244
Requisitons per number of slots per link;4;<3-5>;5;-; ;0.16272965879265092;0.1438415159345392;0.1652892561983471;0.14708442123585727;0.17041800643086816;0.17854217854217855;0.17180984153461218;0.1490066225165563;0.16439454691259023;0.16966379984362784
Requisitons per number of slots per link;4;<3-5>;9;-; ;0.07436570428696412;0.07924203273040482;0.08099173553719008;0.06266318537859007;0.07315112540192927;0.07780507780507781;0.07089241034195162;0.058774834437086095;0.06976744186046512;0.0727130570758405
Requisitons per number of slots per link;4;<5-3>;1;-; ;0.4339152119700748;0.4082304526748971;0.44047619047619047;0.43125;0.390745501285347;0.3892068683565004;0.397108843537415;0.42981072555205047;0.42025518341307816;0.43579121789560893
Requisitons per number of slots per link;4;<5-3>;2;-; ;0.16541978387364922;0.17119341563786009;0.18622448979591838;0.1453125;0.1790916880891174;0.1749795584627964;0.17006802721088435;0.1632492113564669;0.16267942583732056;0.164043082021541
Requisitons per number of slots per link;4;<5-3>;3;-; ;0.17290108063175394;0.1868312757201646;0.15136054421768708;0.19140625;0.17823479005998286;0.19542109566639412;0.19812925170068027;0.17586750788643532;0.16985645933014354;0.15575807787903895
Requisitons per number of slots per link;4;<5-3>;5;-; ;0.14713216957605985;0.16954732510288065;0.15051020408163265;0.16484375;0.17566409597257926;0.18070318887980377;0.15306122448979592;0.16640378548895898;0.17304625199362042;0.17067108533554268
Requisitons per number of slots per link;4;<5-3>;9;-; ;0.08063175394846218;0.06419753086419754;0.07142857142857142;0.0671875;0.07626392459297343;0.059689288634505316;0.08163265306122448;0.06466876971608833;0.07416267942583732;0.07373653686826843
Requisitons per number of slots per link;4;<5-4>;1;-; ;0.3441466854724965;0.3575949367088608;0.3460328556448794;0.3530864197530864;0.36181943487250173;0.36534372785258684;0.34658298465829845;0.35170969993021634;0.36433836433836436;0.3606673766418175
Requisitons per number of slots per link;4;<5-4>;2;-; ;0.16748942172073342;0.14275668073136427;0.15833624606780847;0.16296296296296298;0.1664369400413508;0.15166548547129696;0.16666666666666666;0.1584089323098395;0.159003159003159;0.16009939652112176
Requisitons per number of slots per link;4;<5-4>;3;-; ;0.1692524682651622;0.16526019690576652;0.17022020272631946;0.16825396825396827;0.16471399035148174;0.16477675407512402;0.1698047419804742;0.15910676901605025;0.1583011583011583;0.15335463258785942
Requisitons per number of slots per link;4;<5-4>;5;-; ;0.16502115655853314;0.16947960618846694;0.17231737154840965;0.17001763668430336;0.15851137146795313;0.17186392629340894;0.1593444909344491;0.1622470341939986;0.16356616356616357;0.1728789492367767
Requisitons per number of slots per link;4;<5-4>;9;-; ;0.15409026798307476;0.1649085794655415;0.15309332401258302;0.145679012345679;0.1485182632667126;0.14635010630758327;0.15760111576011157;0.16852756454989531;0.1547911547911548;0.15299964501242458
Requisitons per number of slots per link;4;<10-9>;1;-; ;0.3819823603527929;0.3915217391304348;0.40703296703296704;0.3836150845253576;0.38660245183887915;0.39216539717083787;0.38632478632478634;0.3789095519864751;0.4007212558336869;0.3949796181077022
